dry,rain,difference
bike,0.5,0.4,-0.1
car,38.4,42.0,3.6
motorbike,0.9,0.8,-0.1
other,0.3,0.4,0.1
public,24.5,24.4,-0.1
taxi,0.5,0.5,0.0
walking,35.0,31.6,-3.4
